first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Cody,Ceci,D,,3,,,2020-01-29,Main,TOR,DAL,+1.5,6,3,3700,30,0.0,4.2,12.8,4.7,1.27
Caleb,Jones,D,,3,,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,3500,10,1.6,5.1,11.2,4.7,1.34
Jonas,Siegenthaler,D,,3,,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,3600,20,0.0,3.2,4.8,4.7,1.31
Matt,Roy,D,,2,,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,3800,17,1.6,5.4,12.8,4.7,1.22
Richard,Panik,W,,3,,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,3300,4,0.0,5.1,9.6,4.6,1.40
Kurtis,MacDermid,D,,3,,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,3500,17,0.0,4.2,14.8,4.6,1.30
Blake,Comeau,W,,4,,,2020-01-29,Main,DAL,TOR,-1.5,6,3,3600,19,1.6,5.4,12.8,4.5,1.26
Nick,Schmaltz,W,,3,2,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,4000,20,0.0,2.2,4.8,4.5,1.13
Austin,Watson,W,,1,,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,3100,7,0.0,7.2,16.8,4.5,1.45
Andrew,Cogliano,W,DTD,3,,,2020-01-29,Main,DAL,TOR,-1.5,6,3,3100,19,1.6,4.8,11.2,4.5,1.44
Riley,Sheahan,C,,3,,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,3300,16,0.0,13.2,39.6,4.5,1.36
Denis,Gurianov,W,,4,2,,2020-01-29,Main,DAL,TOR,-1.5,6,3,3700,19,0.0,8.1,18.4,4.5,1.22
T.J.,Brodie,D,,1,,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,3700,25,1.6,3.2,4.8,4.4,1.18
Troy,Stecher,D,,1,,,2020-01-29,Main,VAN,SJS,+1.5,6,3,4000,13,0.0,5.0,16.8,4.4,1.10
Max,Jones,W,,2,,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,3100,27,1.6,6.2,16.8,4.4,1.43
